time,wx (rad/s),wy (rad/s),wz (rad/s)
1.089267,0.00,-0.50,0.20
1.090436,0.01,-0.51,0.19
1.092681,0.03,-0.54,0.16
1.095165,0.04,-0.57,0.12
1.097358,0.05,-0.59,0.10
1.100329,0.06,-0.63,0.05
1.101352,0.07,-0.68,0.01
1.103346,0.08,-0.71,-0.01
1.106380,0.09,-0.77,-0.06
1.106974,0.10,-0.84,-0.10
1.108481,0.10,-0.87,-0.11
1.110908,0.11,-0.93,-0.14
1.113742,0.11,-0.99,-0.16
1.114530,0.11,-1.02,-0.17
1.116437,0.11,-1.06,-0.18
1.118599,0.12,-1.10,-0.19
1.120044,0.11,-1.10,-0.19
1.122385,0.11,-1.11,-0.18
1.124139,0.11,-1.10,-0.16
1.126357,0.10,-1.09,-0.15
1.128438,0.10,-1.05,-0.13
1.132569,0.10,-0.99,-0.10
1.132981,0.09,-0.96,-0.09
1.134190,0.09,-0.88,-0.07
1.136406,0.08,-0.83,-0.06
1.138233,0.07,-0.74,-0.04
1.140272,0.06,-0.63,-0.02
1.142203,0.05,-0.57,-0.01
1.144195,0.04,-0.45,-0.00
1.146612,0.03,-0.33,0.01
1.148420,0.02,-0.27,0.01
1.150870,0.00,-0.14,0.01
1.152512,-0.01,-0.02,0.01
1.155472,-0.03,0.04,0.01
1.156582,-0.04,0.15,0.01
1.159442,-0.06,0.26,0.00
1.161050,-0.07,0.31,0.00
1.163671,-0.09,0.41,-0.00
1.164297,-0.11,0.50,-0.01
1.166984,-0.12,0.54,-0.01
1.168548,-0.15,0.61,-0.01
1.170415,-0.17,0.67,-0.01
1.172400,-0.18,0.70,0.01
1.174739,-0.21,0.74,0.07
1.176630,-0.25,0.78,0.12
1.178803,-0.26,0.79,0.14
1.181953,-0.29,0.82,0.17
1.182736,-0.32,0.84,0.19
1.184931,-0.33,0.85,0.19
1.186778,-0.36,0.87,0.20
1.188332,-0.39,0.88,0.20
1.190167,-0.41,0.89,0.19
1.192478,-0.44,0.90,0.16
1.194575,-0.46,0.92,0.13
1.197850,-0.48,0.92,0.11
1.198614,-0.50,0.93,0.07
1.201690,-0.53,0.93,0.04
1.203141,-0.54,0.92,0.02
1.204793,-0.57,0.91,-0.01
1.206691,-0.59,0.89,-0.04
1.208338,-0.61,0.88,-0.05
1.210773,-0.63,0.84,-0.07
1.214238,-0.65,0.80,-0.09
1.214984,-0.67,0.78,-0.09
1.216685,-0.69,0.72,-0.10
1.218772,-0.71,0.65,-0.10
1.220718,-0.73,0.62,-0.10
1.222629,-0.75,0.54,-0.09
1.224731,-0.77,0.46,-0.08
1.226775,-0.78,0.42,-0.08
1.234001,-0.80,0.34,-0.07
1.234685,-0.82,0.25,-0.06
1.235033,-0.83,0.21,-0.05
1.235371,-0.85,0.13,-0.05
1.236775,-0.85,0.09,-0.04
1.238477,-0.87,0.01,-0.03
1.240734,-0.88,-0.05,-0.02
1.242941,-0.88,-0.08,-0.02
1.244385,-0.89,-0.14,-0.01
1.247239,-0.89,-0.19,-0.01
1.248802,-0.90,-0.22,-0.01
1.250471,-0.90,-0.27,-0.01
1.252668,-0.89,-0.31,-0.00
1.254527,-0.89,-0.33,-0.01
1.256712,-0.88,-0.36,-0.01
1.258928,-0.88,-0.39,-0.01
1.260789,-0.87,-0.40,-0.01
1.263778,-0.86,-0.43,-0.01
1.264467,-0.85,-0.45,-0.02
1.266592,-0.85,-0.46,-0.02
1.268814,-0.83,-0.48,-0.02
1.270516,-0.81,-0.49,-0.02
1.272503,-0.81,-0.49,-0.02
1.275726,-0.79,-0.50,-0.02
1.276120,-0.77,-0.51,-0.02
1.280770,-0.76,-0.51,-0.02
1.281257,-0.75,-0.51,-0.01
1.283833,-0.74,-0.51,-0.01
1.284569,-0.72,-0.49,-0.00
1.286996,-0.70,-0.47,0.01
1.288104,-0.68,-0.46,0.01
1.290486,-0.66,-0.43,0.02
1.292167,-0.64,-0.40,0.03
1.294421,-0.63,-0.39,0.03
1.296621,-0.61,-0.35,0.04
1.298593,-0.59,-0.32,0.05
1.300579,-0.57,-0.30,0.05
1.302368,-0.56,-0.26,0.07
1.304501,-0.54,-0.22,0.07
1.306438,-0.52,-0.19,0.08
1.308460,-0.50,-0.15,0.09
1.311138,-0.48,-0.10,0.10
1.313586,-0.47,-0.08,0.10
1.314278,-0.45,-0.03,0.11
1.316729,-0.43,0.01,0.12
1.318040,-0.42,0.04,0.13
1.320444,-0.41,0.08,0.13
1.322450,-0.39,0.13,0.14
1.324086,-0.38,0.15,0.14
1.326169,-0.36,0.18,0.16
1.328517,-0.35,0.21,0.16
1.334008,-0.34,0.23,0.17
1.334561,-0.33,0.25,0.18
1.334771,-0.32,0.26,0.18
1.336405,-0.31,0.27,0.18
1.338590,-0.30,0.28,0.18
1.340137,-0.30,0.28,0.18
1.342252,-0.29,0.27,0.19
1.344009,-0.29,0.26,0.23
1.347354,-0.29,0.25,0.25
1.347935,-0.30,0.23,0.27
1.350313,-0.30,0.20,0.28
1.352377,-0.30,0.19,0.29
1.354222,-0.31,0.16,0.29
1.356269,-0.32,0.13,0.28
1.358262,-0.33,0.11,0.28
1.360960,-0.33,0.09,0.26
1.363426,-0.35,0.08,0.24
1.364047,-0.35,0.07,0.23
1.366227,-0.36,0.05,0.20
1.368433,-0.38,0.05,0.17
1.370669,-0.38,0.05,0.16
